Date,Close
4/1/2016,41.16
4/4/2016,41.07
4/5/2016,40.53
4/6/2016,40.75
4/7/2016,39.97
4/8/2016,40.36
4/11/2016,40.39
4/12/2016,40.42
4/13/2016,41.31
4/14/2016,41.24
4/15/2016,41.02
4/18/2016,41.24
4/19/2016,41.06
4/20/2016,41.1
4/21/2016,40.99
4/22/2016,40.7
4/25/2016,40.78
4/26/2016,40.65
4/27/2016,40.85
4/28/2016,40.33
4/29/2016,39.86
5/2/2016,40.3
5/3/2016,39.68
5/4/2016,39.29
5/5/2016,39.23
5/6/2016,39.41
5/9/2016,39.36
5/10/2016,40.02
5/11/2016,39.65
5/12/2016,39.82
5/13/2016,39.61
5/16/2016,39.97
5/17/2016,39.6
5/18/2016,39.47
5/19/2016,38.84
5/20/2016,39.41
5/23/2016,39.18
5/24/2016,39.9
5/25/2016,40.13
5/26/2016,39.95
5/27/2016,40.07
5/31/2016,40.2
6/1/2016,40.26
6/2/2016,38.66
6/3/2016,39.1
6/6/2016,39.44
6/7/2016,39.13
6/8/2016,39.28
6/9/2016,39.05
6/10/2016,38.74
6/13/2016,38.62
6/14/2016,38.83
6/15/2016,38.44
6/16/2016,38.64
6/17/2016,39.68
6/20/2016,39.73
6/21/2016,39.99
6/22/2016,40.01
6/23/2016,40.83
6/24/2016,39.23
6/27/2016,38.48
6/28/2016,39.13
6/29/2016,40.55
6/30/2016,40.93
7/1/2016,40.86
7/5/2016,40.4
7/6/2016,40.53
7/7/2016,40.53
7/8/2016,40.87
7/11/2016,40.78
7/12/2016,41.42
7/13/2016,41.46
7/14/2016,41.67
7/15/2016,41.77
7/18/2016,41.64
7/19/2016,41.08
7/20/2016,41.25
7/21/2016,41.07
7/22/2016,41.08
7/25/2016,41.16
7/26/2016,40.94
7/27/2016,40.93
7/28/2016,41.19
7/29/2016,41.04
8/1/2016,41.15
8/2/2016,40.71
8/3/2016,40.71
8/4/2016,40.9
8/5/2016,41.13
8/8/2016,41.16
8/9/2016,41.1
8/10/2016,41.09
8/11/2016,41.28
8/12/2016,41.09
8/15/2016,41.39
8/16/2016,41.32
8/17/2016,41.21
8/18/2016,41.14
8/19/2016,41.32
8/22/2016,41.22
8/23/2016,41.5
8/24/2016,41.07
8/25/2016,41.1
8/26/2016,41.26
8/29/2016,41.31
8/30/2016,41.31
8/31/2016,41.22
9/1/2016,41.16
9/2/2016,41.25
9/6/2016,41.25
9/7/2016,41.25
9/8/2016,40.72
9/9/2016,40.03
9/12/2016,40.68
9/13/2016,40.18
9/14/2016,40.25
9/15/2016,40.86
9/16/2016,38.92
9/19/2016,39.23
9/20/2016,39.07
9/21/2016,39.51
9/22/2016,39.51
9/23/2016,39.23
9/26/2016,39.03
9/27/2016,39.3
9/28/2016,39.44
9/29/2016,39.12
9/30/2016,39.28
10/3/2016,38.99
10/4/2016,38.87
10/5/2016,39.15
10/6/2016,38.87
10/7/2016,38.71
10/10/2016,38.62
10/11/2016,38.01
10/12/2016,38.05
10/13/2016,38.03
10/14/2016,38.41
10/17/2016,38.29
10/18/2016,38.42
10/19/2016,38.35
10/20/2016,38.09
10/21/2016,37.93
10/24/2016,38.27
10/25/2016,38.36
10/26/2016,38.31
10/27/2016,38.22
10/28/2016,38.17
10/31/2016,38.42
11/1/2016,38.46
11/2/2016,38.03
11/3/2016,38.31
11/4/2016,38.28
11/7/2016,39.09
11/8/2016,39.13
11/9/2016,39.55
11/10/2016,39.58
11/11/2016,39.45
11/14/2016,39.3
11/15/2016,39.17
11/16/2016,39.7
11/17/2016,40.25
11/18/2016,39.86
11/21/2016,39.89
11/22/2016,40.09
11/23/2016,40.1
11/25/2016,40.27
11/28/2016,40.3
11/29/2016,40.55
11/30/2016,40.19
12/1/2016,38.7
12/2/2016,38.5
12/5/2016,38.97
12/6/2016,39.47
12/7/2016,40.32
12/8/2016,40.35
12/9/2016,40.52
12/12/2016,40.51
12/13/2016,40.76
12/14/2016,40.88
12/15/2016,40.86
12/16/2016,39.1
12/19/2016,38.9
12/20/2016,39
12/21/2016,38.83
12/22/2016,38.96
12/23/2016,38.78
12/27/2016,38.82
12/28/2016,38.68
12/29/2016,38.69
12/30/2016,38.45
1/3/2017,38.55
1/4/2017,38.74
1/5/2017,38.64
1/6/2017,38.45
1/9/2017,39.03
1/10/2017,38.66
1/11/2017,39.11
1/12/2017,39.2
1/13/2017,39.26
1/17/2017,39.1
1/18/2017,39.19
1/19/2017,39.21
1/20/2017,39.87
1/23/2017,39.68
1/24/2017,40.1
1/25/2017,40.15
1/26/2017,40.13
1/27/2017,40.23
1/30/2017,40.23
1/31/2017,40.11
2/1/2017,39.84
2/2/2017,39.98
2/3/2017,40.43
2/6/2017,40.1
2/7/2017,40.07
2/8/2017,40.02
2/9/2017,40.23
2/10/2017,40.79
2/13/2017,41.09
2/14/2017,41.1
2/15/2017,41.41
2/16/2017,41.59
2/17/2017,42.06
2/21/2017,42.27
2/22/2017,42.51
2/23/2017,42.96
2/24/2017,43.17
2/27/2017,42.7
2/28/2017,42.59
3/1/2017,42.92
3/2/2017,42.89
3/3/2017,42.69
3/6/2017,42.57
3/7/2017,42.6
3/8/2017,42.61
3/9/2017,42.44
3/10/2017,42.68
3/13/2017,42.58
3/14/2017,42.79
3/15/2017,43.05
3/16/2017,45.73
3/17/2017,45.66
3/20/2017,45.23
3/21/2017,44.84
3/22/2017,44.79
3/23/2017,44.95
3/24/2017,44.65
3/27/2017,44.84
3/28/2017,44.69
3/29/2017,44.52
3/30/2017,44.68
3/31/2017,44.61
4/3/2017,44.61
4/4/2017,44.59
4/5/2017,44.49
4/6/2017,44.18
4/7/2017,44.29
4/10/2017,44
4/11/2017,44.17
4/12/2017,44.18
4/13/2017,44
4/17/2017,44.29
4/18/2017,44.52
4/19/2017,44.19
4/20/2017,44.53
4/21/2017,44.43
4/24/2017,44.84
4/25/2017,44.72
4/26/2017,44.69
4/27/2017,44.77
4/28/2017,44.96
5/1/2017,45.05
5/2/2017,45.13
5/3/2017,44.89
5/4/2017,45.47
5/5/2017,45.58
5/8/2017,45.56
5/9/2017,45.48
5/10/2017,45.53
5/11/2017,45.16
5/12/2017,45.08
5/15/2017,45.32
5/16/2017,45.29
5/17/2017,44.23
5/18/2017,44.17
5/19/2017,44.31
5/22/2017,44.63
5/23/2017,44.56
5/24/2017,44.83
5/25/2017,45.2
5/26/2017,45.26
5/30/2017,45.42
5/31/2017,45.39
6/1/2017,45.79
6/2/2017,45.66
6/5/2017,45.92
6/6/2017,45.61
6/7/2017,45.4
6/8/2017,45.42
6/9/2017,45.03
6/12/2017,44.85
6/13/2017,44.98
6/14/2017,44.81
6/15/2017,44.68
6/16/2017,45.09
6/19/2017,45.73
6/20/2017,45.84
6/21/2017,46.33
6/22/2017,50.3
6/23/2017,50.95
6/26/2017,50.86
6/27/2017,50.75
6/28/2017,50.87
6/29/2017,50.2
6/30/2017,50.14
7/3/2017,49.36
7/5/2017,49.46
7/6/2017,48.85
7/7/2017,49.35
7/10/2017,49.62
7/11/2017,49.88
7/12/2017,50.45
7/13/2017,50.35
7/14/2017,50.56
7/17/2017,50.44
7/18/2017,50.45
7/19/2017,51
7/20/2017,51.13
7/21/2017,50.8
7/24/2017,50.76
7/25/2017,51.17
7/26/2017,51.17
7/27/2017,50.45
7/28/2017,50.3
7/31/2017,49.93
8/1/2017,50.16
8/2/2017,49.77
8/3/2017,50.23
8/4/2017,49.96
8/7/2017,49.64
8/8/2017,49.1
8/9/2017,49.06
8/10/2017,48.1
8/11/2017,48.24
8/14/2017,48.85
8/15/2017,48.83
8/16/2017,49.25
8/17/2017,48.55
8/18/2017,48.62
8/21/2017,48.9
8/22/2017,49.26
8/23/2017,49.07
8/24/2017,49.19
8/25/2017,49.24
8/28/2017,49.24
8/29/2017,49.45
8/30/2017,49.8
8/31/2017,50.33
9/1/2017,50.62
9/5/2017,50.93
9/6/2017,51.01
9/7/2017,51.73
9/8/2017,51.58
9/11/2017,52.49
9/12/2017,52.77
9/13/2017,52.8
9/14/2017,52.79
9/15/2017,48.74
9/18/2017,48.33
9/19/2017,48.04
9/20/2017,47.97
9/21/2017,47.97
9/22/2017,48.16
9/25/2017,47.97
9/26/2017,47.92
9/27/2017,48.16
9/28/2017,48.08
9/29/2017,48.35
10/2/2017,48.8
10/3/2017,48.69
10/4/2017,48.9
10/5/2017,48.91
10/6/2017,48.4
10/9/2017,48.36
10/10/2017,48.21
10/11/2017,48.28
10/12/2017,48.23
10/13/2017,48.61
10/16/2017,48.86
10/17/2017,49.19
10/18/2017,49.58
10/19/2017,49.35
10/20/2017,49.25
10/23/2017,49.31
10/24/2017,49.98
10/25/2017,49.7
10/26/2017,50.15
10/27/2017,50.88
10/30/2017,50.68
10/31/2017,50.9
11/1/2017,50.64
11/2/2017,50.28
11/3/2017,50.18
11/6/2017,50.4
11/7/2017,50.49
11/8/2017,50.54
11/9/2017,49.24
11/10/2017,49.32
11/13/2017,49.4
11/14/2017,49.2
11/15/2017,48.82
11/16/2017,49.2
11/17/2017,48.94
11/20/2017,49.02
11/21/2017,48.63
11/22/2017,48.58
11/24/2017,49.01
11/27/2017,48.88
11/28/2017,49.01
11/29/2017,48.52
11/30/2017,49.06
12/1/2017,49.61
12/4/2017,48.4
12/5/2017,47.99
12/6/2017,48.42
12/7/2017,48.52
12/8/2017,49.6
12/11/2017,50.47
12/12/2017,50.39
12/13/2017,50.05
12/14/2017,50.19
12/15/2017,48.3
12/18/2017,47.71
12/19/2017,47.82
12/20/2017,47.9
12/21/2017,47.28
12/22/2017,47.36
12/26/2017,47.43
12/27/2017,47.38
12/28/2017,47.52
12/29/2017,47.28
1/2/2018,46.63
1/3/2018,47.71
1/4/2018,48.18
1/5/2018,48.47
1/8/2018,48.98
1/9/2018,49.06
1/10/2018,48.8
1/11/2018,48.95
1/12/2018,49.51
1/16/2018,49.59
1/17/2018,50.27
1/18/2018,50.23
1/19/2018,50.58
1/22/2018,50.71
1/23/2018,51.12
1/24/2018,51.45
1/25/2018,51.6
1/26/2018,52.75
1/29/2018,51.94
1/30/2018,50.96
1/31/2018,51.59
2/1/2018,51.63
2/2/2018,50.13
2/5/2018,48.09
2/6/2018,49.4
